Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Nif11-like leader peptide family RiPP precursor [Prochlorococcus marinus],Prochlorococcus marinus,NA,1219,52.4,52.4,59%,1e-06,12.07,71,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_041710552.1?report=genbank&log$=prottop&blast_rank=2910&RID=2AYZ3C4E016"",""WP_041710552.1"")"
Nif11 family protein [Leptolyngbya sp. SIO4C1],Leptolyngbya sp. SIO4C1,NA,2607770,52.1,52.1,55%,1e-06,20.37,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NEP17054.1?report=genbank&log$=prottop&blast_rank=2911&RID=2AYZ3C4E016"",""NEP17054.1"")"
Nif11-like leader peptide family natural product precursor [Syntrophomonadaceae bacterium],Syntrophomonadaceae bacterium,NA,2093811,53.6,53.6,69%,1e-06,22.97,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLC07003.1?report=genbank&log$=prottop&blast_rank=2912&RID=2AYZ3C4E016"",""NLC07003.1"")"
Nif11 family protein [Leptolyngbya sp. RL_3_1],Leptolyngbya sp. RL_3_1,NA,2720425,52.1,52.1,67%,1e-06,18.18,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NJN20416.1?report=genbank&log$=prottop&blast_rank=2913&RID=2AYZ3C4E016"",""NJN20416.1"")"
MULTISPECIES: hypothetical protein [Selenomonas],Selenomonas,NA,970,54.0,54.0,83%,2e-06,18.63,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_149189550.1?report=genbank&log$=prottop&blast_rank=2914&RID=2AYZ3C4E016"",""WP_149189550.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MEDNS5],Synechococcus sp. MEDNS5,NA,1442554,52.4,52.4,76%,2e-06,21.33,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186584599.1?report=genbank&log$=prottop&blast_rank=2915&RID=2AYZ3C4E016"",""WP_186584599.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. CBW1006],Synechococcus sp. CBW1006,NA,1353138,52.8,52.8,84%,2e-06,21.69,102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197158695.1?report=genbank&log$=prottop&blast_rank=2916&RID=2AYZ3C4E016"",""WP_197158695.1"")"
Nif11-like leader peptide family RiPP precursor [Selenomonas ruminantium],Selenomonas ruminantium,NA,971,52.4,52.4,77%,2e-06,27.63,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074698838.1?report=genbank&log$=prottop&blast_rank=2917&RID=2AYZ3C4E016"",""WP_074698838.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. CBW1108],Synechococcus sp. CBW1108,NA,1353147,52.4,52.4,55%,2e-06,14.81,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197149645.1?report=genbank&log$=prottop&blast_rank=2918&RID=2AYZ3C4E016"",""WP_197149645.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. CB0205],Synechococcus sp. CB0205,NA,232363,52.8,52.8,64%,2e-06,15.87,103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_083797875.1?report=genbank&log$=prottop&blast_rank=2919&RID=2AYZ3C4E016"",""WP_083797875.1"")"
unknown [Clostridium sp. CAG:557],Clostridium sp. CAG:557,NA,1262819,53.2,53.2,72%,2e-06,30.99,109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CDB24227.1?report=genbank&log$=prottop&blast_rank=2920&RID=2AYZ3C4E016"",""CDB24227.1"")"
Nif11-like leader peptide family natural product precursor [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,52.8,52.8,77%,2e-06,26.51,94,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NDJ53225.1?report=genbank&log$=prottop&blast_rank=2921&RID=2AYZ3C4E016"",""NDJ53225.1"")"
Nif11-like leader peptide family RiPP precursor [Scytonema sp. NIES-4073],Scytonema sp. NIES-4073,NA,2005464,52.8,52.8,50%,2e-06,28.30,94,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096564680.1?report=genbank&log$=prottop&blast_rank=2922&RID=2AYZ3C4E016"",""WP_096564680.1"")"
Nif11-like leader peptide family RiPP precursor [Butyrivibrio proteoclasticus],Butyrivibrio proteoclasticus,NA,43305,52.8,52.8,75%,2e-06,14.86,101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074890902.1?report=genbank&log$=prottop&blast_rank=2923&RID=2AYZ3C4E016"",""WP_074890902.1"")"
MULTISPECIES: Nif11 family protein [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,52.4,52.4,68%,2e-06,17.91,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074159345.1?report=genbank&log$=prottop&blast_rank=2924&RID=2AYZ3C4E016"",""WP_074159345.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. KORDI-52],Synechococcus sp. KORDI-52,NA,585425,52.4,52.4,69%,2e-06,20.59,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_038553778.1?report=genbank&log$=prottop&blast_rank=2925&RID=2AYZ3C4E016"",""WP_038553778.1"")"
hypothetical protein DMR_05150 [Desulfovibrio magneticus RS-1],Desulfovibrio magneticus RS-1,NA,573370,52.8,52.8,67%,2e-06,19.70,102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH74006.1?report=genbank&log$=prottop&blast_rank=2926&RID=2AYZ3C4E016"",""BAH74006.1"")"
Nif11 family protein [Microcystis aeruginosa W13-11],Microcystis aeruginosa W13-11,NA,2685991,52.8,52.8,64%,2e-06,12.70,94,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NCR38499.1?report=genbank&log$=prottop&blast_rank=2927&RID=2AYZ3C4E016"",""NCR38499.1"")"
Nif11-like leader peptide family RiPP precursor [Fulvimarina manganoxydans],Fulvimarina manganoxydans,NA,937218,54.0,54.0,85%,2e-06,21.98,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_084410704.1?report=genbank&log$=prottop&blast_rank=2928&RID=2AYZ3C4E016"",""WP_084410704.1"")"
Nif11-like leader peptide family natural product precursor [Planctomycetes bacterium],Planctomycetes bacterium,NA,2026780,52.1,52.1,69%,2e-06,27.94,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NQT13257.1?report=genbank&log$=prottop&blast_rank=2929&RID=2AYZ3C4E016"",""NQT13257.1"")"
hypothetical protein [Clostridiales bacterium],Clostridiales bacterium,NA,1898207,53.2,53.2,57%,2e-06,25.00,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD9208031.1?report=genbank&log$=prottop&blast_rank=2930&RID=2AYZ3C4E016"",""MBD9208031.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. PROS-7-1],Synechococcus sp. PROS-7-1,NA,1442556,52.4,52.4,65%,2e-06,25.00,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186594479.1?report=genbank&log$=prottop&blast_rank=2931&RID=2AYZ3C4E016"",""WP_186594479.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. A15-44],Synechococcus sp. A15-44,NA,1050646,52.4,52.4,69%,2e-06,20.59,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186513362.1?report=genbank&log$=prottop&blast_rank=2932&RID=2AYZ3C4E016"",""WP_186513362.1"")"
Nif11 family protein [aff. Roholtiella sp. LEGE 12411],aff. Roholtiella sp. LEGE 12411,NA,1828822,52.1,52.1,57%,2e-06,23.33,67,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_194001963.1?report=genbank&log$=prottop&blast_rank=2933&RID=2AYZ3C4E016"",""WP_194001963.1"")"
Nif11-like leader peptide family natural product precursor [Chlorobiaceae bacterium],Chlorobiaceae bacterium,NA,2067991,52.1,52.1,64%,2e-06,23.81,76,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NTW09960.1?report=genbank&log$=prottop&blast_rank=2934&RID=2AYZ3C4E016"",""NTW09960.1"")"
Nif11 family protein [Nostoc sp. ATCC 53789],Nostoc sp. ATCC 53789,NA,76335,52.8,52.8,68%,2e-06,28.36,104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114085990.1?report=genbank&log$=prottop&blast_rank=2935&RID=2AYZ3C4E016"",""WP_114085990.1"")"
hypothetical protein EPO67_22940 [Reyranella sp.],Reyranella sp.,NA,1929291,52.4,52.4,90%,2e-06,17.78,95,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TAJ24630.1?report=genbank&log$=prottop&blast_rank=2936&RID=2AYZ3C4E016"",""TAJ24630.1"")"
Nif11-like leader peptide family natural product precursor [Vulcanococcus sp. Clear-D1],Vulcanococcus sp. Clear-D1,NA,2766970,52.1,52.1,55%,2e-06,14.81,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD1194279.1?report=genbank&log$=prottop&blast_rank=2937&RID=2AYZ3C4E016"",""MBD1194279.1"")"
Nif11 family protein [Synechococcus lacustris],Synechococcus lacustris,NA,2116544,52.4,52.4,86%,2e-06,22.35,85,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_106500756.1?report=genbank&log$=prottop&blast_rank=2938&RID=2AYZ3C4E016"",""WP_106500756.1"")"
hypothetical protein [Gammaproteobacteria bacterium],Gammaproteobacteria bacterium,NA,1913989,52.4,52.4,51%,2e-06,30.00,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAQ09808.1?report=genbank&log$=prottop&blast_rank=2939&RID=2AYZ3C4E016"",""MAQ09808.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. WH 8016],Synechococcus sp. WH 8016,NA,166318,52.1,52.1,54%,2e-06,24.53,68,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_006852755.1?report=genbank&log$=prottop&blast_rank=2940&RID=2AYZ3C4E016"",""WP_006852755.1"")"
Nif11-like leader peptide family RiPP precursor [Cyanobium sp. FACHB-13342],Cyanobium sp. FACHB-13342,NA,2692793,52.1,52.1,75%,2e-06,21.62,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190389844.1?report=genbank&log$=prottop&blast_rank=2941&RID=2AYZ3C4E016"",""WP_190389844.1"")"
Nif11-like leader peptide family RiPP precursor [Rhodomicrobium vannielii],Rhodomicrobium vannielii,NA,1069,51.7,51.7,65%,2e-06,38.46,65,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_013418197.1?report=genbank&log$=prottop&blast_rank=2942&RID=2AYZ3C4E016"",""WP_013418197.1"")"
Nif11 family protein [Synechococcus sp. CBW1107],Synechococcus sp. CBW1107,NA,2789857,52.4,52.4,73%,2e-06,25.33,92,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197166274.1?report=genbank&log$=prottop&blast_rank=2943&RID=2AYZ3C4E016"",""WP_197166274.1"")"
Nif11-like leader peptide family RiPP precursor [Prochlorococcus sp. HOT208_60m_810B23],Prochlorococcus sp. HOT208_60m_810B23,NA,1961086,52.1,52.1,59%,2e-06,15.52,71,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_079299745.1?report=genbank&log$=prottop&blast_rank=2944&RID=2AYZ3C4E016"",""WP_079299745.1"")"
TPA: Nif11 family protein [Desulfobulbus sp.],Desulfobulbus sp.,NA,895,52.1,52.1,55%,2e-06,29.63,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHB76329.1?report=genbank&log$=prottop&blast_rank=2945&RID=2AYZ3C4E016"",""HHB76329.1"")"
Nif11 family protein [Gemmatimonadetes bacterium],Gemmatimonadetes bacterium,NA,2026742,52.4,52.4,86%,2e-06,22.35,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NJD17951.1?report=genbank&log$=prottop&blast_rank=2946&RID=2AYZ3C4E016"",""NJD17951.1"")"
Nif11-like leader peptide family natural product precursor [Synechococcaceae bacterium WB9_2_170],Synechococcaceae bacterium WB9_2_170,NA,2448807,51.3,51.3,53%,2e-06,19.23,54,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NDC14371.1?report=genbank&log$=prottop&blast_rank=2947&RID=2AYZ3C4E016"",""NDC14371.1"")"
TPA: hypothetical protein [Lentisphaeria bacterium],Lentisphaeria bacterium,NA,2053569,52.1,52.1,62%,2e-06,23.19,71,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCG27643.1?report=genbank&log$=prottop&blast_rank=2948&RID=2AYZ3C4E016"",""HCG27643.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. CBW1107],Synechococcus sp. CBW1107,NA,2789857,52.4,52.4,58%,2e-06,22.81,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197165155.1?report=genbank&log$=prottop&blast_rank=2949&RID=2AYZ3C4E016"",""WP_197165155.1"")"
nitrogen fixation protein of unknown function [Clostridium homopropionicum DSM 5847],Clostridium homopropionicum DSM 5847,NA,1121318,54.4,99.1,79%,2e-06,22.50,195,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOA20070.1?report=genbank&log$=prottop&blast_rank=2950&RID=2AYZ3C4E016"",""KOA20070.1"")"
Nif11-like leader peptide family natural product precursor [Burkholderiales bacterium],Burkholderiales bacterium,NA,1891238,53.2,53.2,74%,2e-06,22.97,133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7813475.1?report=genbank&log$=prottop&blast_rank=2951&RID=2AYZ3C4E016"",""MBC7813475.1"")"
Nif11-like leader peptide family natural product precursor [Gammaproteobacteria bacterium],Gammaproteobacteria bacterium,NA,1913989,52.8,52.8,78%,2e-06,22.62,101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI5618028.1?report=genbank&log$=prottop&blast_rank=2952&RID=2AYZ3C4E016"",""MBI5618028.1"")"
TPA: hypothetical protein [Anaerovibrio sp.],Anaerovibrio sp.,NA,1872532,54.4,54.4,82%,2e-06,17.76,186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HAF31766.1?report=genbank&log$=prottop&blast_rank=2953&RID=2AYZ3C4E016"",""HAF31766.1"")"
hypothetical protein DCO99_10070 [Synechococcus sp. XM-24],Synechococcus sp. XM-24,NA,1979185,52.8,52.8,64%,2e-06,15.87,103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PWL21813.1?report=genbank&log$=prottop&blast_rank=2954&RID=2AYZ3C4E016"",""PWL21813.1"")"
DivX [Prochloron didemni],Prochloron didemni,NA,1216,55.1,55.1,68%,2e-06,25.37,305,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ARD09204.1?report=genbank&log$=prottop&blast_rank=2955&RID=2AYZ3C4E016"",""ARD09204.1"")"
Nif11-like leader peptide family RiPP precursor [Prochlorococcus marinus],Prochlorococcus marinus,NA,1219,52.4,52.4,55%,2e-06,20.37,88,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011294669.1?report=genbank&log$=prottop&blast_rank=2956&RID=2AYZ3C4E016"",""WP_011294669.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,52.4,52.4,73%,2e-06,18.06,99,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186537682.1?report=genbank&log$=prottop&blast_rank=2957&RID=2AYZ3C4E016"",""WP_186537682.1"")"
hypothetical protein WH5701_01265 [Synechococcus sp. WH 5701],Synechococcus sp. WH 5701,NA,69042,52.4,52.4,73%,2e-06,24.00,92,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAQ75435.1?report=genbank&log$=prottop&blast_rank=2958&RID=2AYZ3C4E016"",""EAQ75435.1"")"
Nif11 family protein [Nostoc sp. FACHB-110],Nostoc sp. FACHB-110,NA,2692834,51.7,51.7,57%,2e-06,21.67,67,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190692641.1?report=genbank&log$=prottop&blast_rank=2959&RID=2AYZ3C4E016"",""WP_190692641.1"")"
Hypothetical protein PMT_2873 [Prochlorococcus marinus str. MIT 9313],Prochlorococcus marinus str. MIT 9313,NA,74547,51.7,51.7,64%,2e-06,23.81,67,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAX32392.1?report=genbank&log$=prottop&blast_rank=2960&RID=2AYZ3C4E016"",""CAX32392.1"")"
TPA: Nif11-like leader peptide family natural product precursor [Chlorobaculum parvum],Chlorobaculum parvum,NA,274539,52.1,52.1,64%,2e-06,31.75,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHE32012.1?report=genbank&log$=prottop&blast_rank=2961&RID=2AYZ3C4E016"",""HHE32012.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BS56D],Synechococcus sp. BS56D,NA,2055944,52.1,52.1,83%,2e-06,17.07,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_131455753.1?report=genbank&log$=prottop&blast_rank=2962&RID=2AYZ3C4E016"",""WP_131455753.1"")"
Nif11-like leader peptide family RiPP precursor [Eggerthella lenta],Eggerthella lenta,NA,84112,52.4,52.4,96%,2e-06,23.76,104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114533527.1?report=genbank&log$=prottop&blast_rank=2963&RID=2AYZ3C4E016"",""WP_114533527.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. CC9311],Synechococcus sp. CC9311,NA,64471,52.8,52.8,46%,2e-06,30.43,107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071813691.1?report=genbank&log$=prottop&blast_rank=2964&RID=2AYZ3C4E016"",""WP_071813691.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MEDNS5],Synechococcus sp. MEDNS5,NA,1442554,52.1,52.1,82%,2e-06,13.58,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186583936.1?report=genbank&log$=prottop&blast_rank=2965&RID=2AYZ3C4E016"",""WP_186583936.1"")"
bacteriocin [Synechococcus sp. TMED169],Synechococcus sp. TMED169,NA,1986593,52.1,52.1,75%,2e-06,21.62,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OUW27448.1?report=genbank&log$=prottop&blast_rank=2966&RID=2AYZ3C4E016"",""OUW27448.1"")"
hypothetical protein CVU90_13195 [Firmicutes bacterium HGW-Firmicutes-15],Firmicutes bacterium HGW-Firmicutes-15,NA,2013776,52.1,52.1,78%,2e-06,21.79,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PKM76288.1?report=genbank&log$=prottop&blast_rank=2967&RID=2AYZ3C4E016"",""PKM76288.1"")"
Hypothetical protein P9303_13111 [Prochlorococcus marinus str. MIT 9303],Prochlorococcus marinus str. MIT 9303,NA,59922,51.3,51.3,42%,2e-06,30.95,57,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABM78058.1?report=genbank&log$=prottop&blast_rank=2968&RID=2AYZ3C4E016"",""ABM78058.1"")"
Nif11 family protein [Labilibacter marinus],Labilibacter marinus,NA,1477105,52.1,52.1,72%,2e-06,22.54,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066630486.1?report=genbank&log$=prottop&blast_rank=2969&RID=2AYZ3C4E016"",""WP_066630486.1"")"
Nif11-like leader peptide family RiPP precursor [Clostridium homopropionicum],Clostridium homopropionicum,NA,36844,54.4,99.1,79%,2e-06,22.50,199,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_052221065.1?report=genbank&log$=prottop&blast_rank=2970&RID=2AYZ3C4E016"",""WP_052221065.1"")"
Nif11-like leader peptide family natural product precursor [Enterocloster bolteae],Enterocloster bolteae,NA,208479,52.4,52.4,71%,2e-06,20.83,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RGK78505.1?report=genbank&log$=prottop&blast_rank=2971&RID=2AYZ3C4E016"",""RGK78505.1"")"
Nif11-like leader peptide family RiPP precursor [Cyanobium sp. PCC 7001],Cyanobium sp. PCC 7001,NA,180281,52.1,52.1,75%,2e-06,21.62,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_006909875.1?report=genbank&log$=prottop&blast_rank=2972&RID=2AYZ3C4E016"",""WP_006909875.1"")"
Nif11-like leader peptide family natural product precursor [Moorea sp. SIOASIH],Moorea sp. SIOASIH,NA,2607817,52.8,52.8,72%,2e-06,21.43,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NEO39914.1?report=genbank&log$=prottop&blast_rank=2973&RID=2AYZ3C4E016"",""NEO39914.1"")"
hypothetical protein [Clostridiales bacterium],Clostridiales bacterium,NA,1898207,52.8,52.8,92%,3e-06,22.83,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLE19827.1?report=genbank&log$=prottop&blast_rank=2974&RID=2AYZ3C4E016"",""NLE19827.1"")"
unknown [Clostridium sp. CAG:448],Clostridium sp. CAG:448,NA,1262808,51.3,51.3,65%,3e-06,28.12,65,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CDC62696.1?report=genbank&log$=prottop&blast_rank=2975&RID=2AYZ3C4E016"",""CDC62696.1"")"
Nif11-like leader peptide family RiPP precursor [Cyanobium sp. FACHB-13342],Cyanobium sp. FACHB-13342,NA,2692793,52.4,52.4,54%,3e-06,16.98,101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_199289254.1?report=genbank&log$=prottop&blast_rank=2976&RID=2AYZ3C4E016"",""WP_199289254.1"")"
Nif11-like leader peptide family RiPP precursor [Cyanobium sp. NS01],Cyanobium sp. NS01,NA,261284,51.7,51.7,75%,3e-06,22.97,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186698995.1?report=genbank&log$=prottop&blast_rank=2977&RID=2AYZ3C4E016"",""WP_186698995.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [Cyanobacteria],Cyanobacteria,blue-green algae,1117,51.3,51.3,52%,3e-06,17.65,54,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_106221013.1?report=genbank&log$=prottop&blast_rank=2978&RID=2AYZ3C4E016"",""WP_106221013.1"")"
Nif11 family protein [Desulfocapsa sulfexigens],Desulfocapsa sulfexigens,NA,65555,51.7,51.7,55%,3e-06,25.93,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015402628.1?report=genbank&log$=prottop&blast_rank=2979&RID=2AYZ3C4E016"",""WP_015402628.1"")"
hypothetical protein [Olsenella sp.],Olsenella sp.,NA,2042683,52.8,52.8,84%,3e-06,25.84,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE6480289.1?report=genbank&log$=prottop&blast_rank=2980&RID=2AYZ3C4E016"",""MBE6480289.1"")"
Nif11-like leader peptide family natural product precursor [Firmicutes bacterium],Firmicutes bacterium,NA,1879010,52.4,52.4,76%,3e-06,30.26,102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NPV91237.1?report=genbank&log$=prottop&blast_rank=2981&RID=2AYZ3C4E016"",""NPV91237.1"")"
Nif11-like leader peptide family RiPP precursor [Desulfovibrio sp. X2],Desulfovibrio sp. X2,NA,941449,52.1,52.1,51%,3e-06,26.00,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_020879952.1?report=genbank&log$=prottop&blast_rank=2982&RID=2AYZ3C4E016"",""WP_020879952.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. WH 8020],Synechococcus sp. WH 8020,NA,32052,52.4,52.4,46%,3e-06,28.26,107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071841263.1?report=genbank&log$=prottop&blast_rank=2983&RID=2AYZ3C4E016"",""WP_071841263.1"")"
bacteriocin [Desulfobulbaceae bacterium DB1],Desulfobulbaceae bacterium DB1,NA,1920419,51.7,51.7,55%,3e-06,27.78,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OKY76965.1?report=genbank&log$=prottop&blast_rank=2984&RID=2AYZ3C4E016"",""OKY76965.1"")"
Nif11-like leader peptide family RiPP precursor [Azospirillum lipoferum],Azospirillum lipoferum,NA,193,52.4,52.4,83%,3e-06,21.95,106,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_085552019.1?report=genbank&log$=prottop&blast_rank=2985&RID=2AYZ3C4E016"",""WP_085552019.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,51.7,51.7,68%,3e-06,17.91,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186538053.1?report=genbank&log$=prottop&blast_rank=2986&RID=2AYZ3C4E016"",""WP_186538053.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. RF31YmG],Nostoc sp. RF31YmG,NA,1932668,52.1,52.1,88%,3e-06,27.27,94,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_086833270.1?report=genbank&log$=prottop&blast_rank=2987&RID=2AYZ3C4E016"",""WP_086833270.1"")"
